input,full_output,baseline_output,label_emotion,full_emotion,baseline_emotion
"She lives in her bedroom. Only comes out to work two nights a week. DOesn't want to have anything to do with her kids (5, 9, 11, 13)","It sounds like a really tough situation for everyone involved. It's understandable to feel sad about it, especially when children are yearning for connection and attention from their parent. It must be hard to see them feeling neglected and trying to navigate their feelings. If you want to talk more about it or share how it’s impacting you, I'm here to listen.","It sounds like a challenging situation for everyone involved. It can be tough when a parent feels disconnected or overwhelmed. If you’re comfortable sharing more, I’m here to listen and help however I can.",depression,sad,sad
And she and my BF have been living that way for three years. Over a year before I even met him.,"I'm really sorry to hear that you're feeling this way. It sounds like a really tough situation to be in, especially when it feels like there's a long history involved. It's completely understandable to feel sad about it. If you want to talk more about how you’re feeling or what’s going on, I'm here for you.","It sounds like you're feeling really hurt and maybe even betrayed by the situation with your boyfriend and her. It's tough to deal with these kinds of feelings. If you want to talk more about it, I'm here to listen.",depression,sad,sad
I would all but guarantee it.,"It sounds like you might be feeling a bit down or uncertain about something. If you want to share more about what’s on your mind, I’m here to listen.","It sounds like you’re feeling pretty certain about something. If you’d like to share more about what’s on your mind, I’m here to listen.",depression,sad,sad
(I know. You're right. I thought that as well),"I'm really sorry to hear that you're feeling this way. It's tough when our thoughts and feelings don't align, and it can be overwhelming. If you want to share more about what's on your mind, I'm here to listen.","It sounds like you're going through a tough time. If you want to talk about what's on your mind, I'm here to listen.",depression,sad,sad
"(before he was furloughed, he made very good money.)",I'm really sorry to hear that he's been furloughed. It must be tough to go from a stable financial situation to uncertainty. How are you feeling about everything?,"It sounds like he was in a good position before the furlough. That can be really tough to deal with, especially if things have changed significantly since then. How are you feeling about it all?",depression,sad,sad
EVERYBODY!,It sounds like you might be feeling overwhelmed or frustrated right now. I'm here to listen if you want to talk about what's on your mind.,It sounds like you might have something on your mind. What’s going on?,depression,sad,sad
Happy New Year!,"Happy New Year! It sounds like you're trying to bring some positivity into your day. If you're feeling a bit sad, it's completely okay. New beginnings can be a mixed bag of emotions. I'm here if you want to talk about anything that's on your mind.","Happy New Year! I hope this year brings you some brighter moments. If you're feeling down, I'm here to listen.",depression,sad,sad
could be better,"I'm really sorry to hear that you're feeling this way. It's okay to have tough days, and I'm here to listen if you want to share more about what's on your mind.","I'm sorry to hear that you're feeling this way. If you want to talk about what's on your mind, I'm here to listen.",anxiety,sad,sad
"thank you, I just don't know what else to do to get a job?","I’m really sorry to hear that you’re feeling this way. Job searching can be incredibly challenging and frustrating, especially when it feels like you’re not making progress. It’s completely normal to feel overwhelmed. If you’d like to talk about what you’ve been trying or what’s been difficult, I’m here to listen and help in any way I can.","I’m sorry to hear that you’re feeling this way. Job searching can be really tough and disheartening at times. Have you considered reaching out to your network or maybe trying different job search platforms? Sometimes, a fresh approach can make a difference. It’s important to stay hopeful and keep trying. How long have you been looking?",anxiety,sad,sad
have tried that but don't even get an interview,"I'm really sorry to hear that you're feeling this way. It can be incredibly disheartening to put in so much effort and not see the results you hope for. It’s completely understandable to feel sad in this situation. You're not alone in this experience, and it’s okay to take a moment to acknowledge those feelings. If you want to talk more about it or share what you’ve been going through, I'm here to listen.","I'm really sorry to hear that. Job searching can be incredibly tough and disheartening, especially when it feels like your efforts aren't being recognized. It might help to review your resume or cover letter, or even to seek feedback from someone in your field. Sometimes a fresh perspective can make a difference. Do you want to talk about what you've been doing in your job search?",anxiety,sad,sad
"yes, I do not qualify for unemployment because I have savings above the min threshold and I also have rental property, which is currently loss making and I can't sell it because it's 30% below market value","I'm really sorry to hear that you're going through such a tough situation. It sounds incredibly frustrating to be in a position where your savings and property are holding you back from getting the support you need. It’s understandable to feel overwhelmed when things seem to be stacked against you. If you want to talk more about it, I'm here to listen.","I'm really sorry to hear that you're going through this tough situation. It can be incredibly frustrating to feel stuck, especially when you're trying to navigate financial challenges. If you're comfortable, it might help to talk about what options you have or any support you could seek. You're not alone in this.",anxiety,sad,sad
"it's almost depleted, been out of work now for nearly 9 months but still can't get unemployment support because of the property that I cannot get rid off else I will declared bankrupt by the mortgage lender","I'm really sorry to hear that you're going through such a tough time. It sounds incredibly stressful and overwhelming to be in a situation where you're struggling to find work while also dealing with financial pressures. It's understandable to feel sad when faced with such challenges. Please know that you're not alone in this, and it's okay to seek support from friends, family, or professionals who can help you navigate through these difficulties.","I'm really sorry to hear that you're going through such a tough time. It sounds incredibly frustrating to be in a situation where you're unable to get the support you need. If you haven’t already, it might be worth reaching out to a financial advisor or a local support service that specializes in unemployment or housing issues. They might be able to provide guidance on your options. Remember, you’re not alone in this, and there are people who can help.",anxiety,sad,sad
but the cost is 7 years of my future???,"It sounds like you’re feeling really overwhelmed by the idea of sacrificing so much time. That’s a huge commitment, and it's understandable to feel sad about it. It's okay to take a moment to process how you feel about the future and what it might hold for you. I'm here to listen if you want to talk more about it.",It sounds like you're facing a tough decision that feels overwhelming. Seven years is a significant amount of time to invest in anything. Can you share more about what you're considering? Sometimes talking it out can help clarify your thoughts.,anxiety,sad,sad
"very well put. seems i am being penalised for working hard, saving and investing? I should have been on more holidays and lived all the way above my means!","It sounds like you're feeling really frustrated and disheartened by the situation. It can be so disheartening when it feels like doing the right thing is not being rewarded. It's understandable to question your choices when it seems like others who take a different approach are having an easier time. You're not alone in feeling this way; many people struggle with similar thoughts. It's tough to balance hard work and the desire for a fulfilling life, and it's okay to feel sad about it. If you want to talk more about it, I'm here for you.","It sounds really frustrating to feel like your hard work isn't being recognized or rewarded. It can be disheartening to see others who may not have the same approach benefiting in ways that seem unfair. It's important to remember that everyone's journey is different, and your dedication and discipline can lead to long-term rewards, even if it doesn't feel that way right now. If you’d like to talk more about what’s on your mind, I'm here to listen.",anxiety,sad,sad
thank you for your help.,"You're welcome. It sounds like you might be going through a tough time, and I'm here for you. If you want to share more about how you're feeling, I'm ready to listen.","You're welcome. If you need anything else or want to talk, I'm here for you.",anxiety,sad,sad
"say i can't quit until we have exchanged 10 messages or spent 15min. I think that has all been done, yes?","It sounds like you're feeling a bit down about the situation. I’m here to listen and support you. If you want to talk about what’s on your mind or how you're feeling, I'm here for you.","It sounds like you're ready to wrap things up. If you feel we've exchanged enough messages or spent enough time, that's completely fine. Just let me know if there's anything else you'd like to talk about before you go.",anxiety,sad,sad
hi! I am good. you?,"I’m here for you, but I can sense that you might be feeling a bit down. If you want to talk about what’s on your mind, I’m here to listen.","I'm here for you. If you're feeling sad, I'm ready to listen or help in any way you need.",anxiety,sad,sad
Yes I have been wanting to find online jobs like this but it is so competitive,"I can understand how that can feel really overwhelming and discouraging. The competition for online jobs can be intense, and it's completely normal to feel sad about it. Just remember, you're not alone in this struggle, and it's okay to take your time finding the right opportunity that fits you. If you ever want to talk about it more or share what you're looking for, I'm here for you.",I understand that it can feel overwhelming with so many people vying for the same opportunities. It's tough when you're trying to stand out. Have you thought about focusing on your unique skills or interests? That might help you find a niche that suits you.,anxiety,sad,sad
"totally
1","It seems like you might be feeling overwhelmed or down right now. I'm here for you, and it’s okay to express how you’re feeling. If you’d like to talk more about what’s on your mind, I'm here to listen.","It seems like you might be feeling a bit down. If you want to talk about what's on your mind, I'm here to listen.",anxiety,sad,sad
"I still have a main job but due to big increase of my house expense, I need to work more, way more","It sounds like you're going through a really tough time right now. Balancing a main job with the need to take on more work can be incredibly stressful, especially when finances are tight. It's understandable to feel overwhelmed by the situation. If you want to talk more about it or explore some options, I'm here to listen.","It sounds like you're going through a tough time with the increased expenses. Balancing a main job and the need to work more can be really overwhelming. If you want to share more about what you're facing or how you're feeling, I'm here to listen.",anxiety,sad,sad
"i have applied to Appen a few times, and they always say there is no position available now","I'm really sorry to hear that you've faced repeated disappointment in your applications to Appen. It can be really frustrating to put in the effort and not see the results you hope for. It’s completely understandable to feel sad about this situation. If you ever want to talk about it or explore other opportunities, I'm here for you.",I'm sorry to hear that you've faced repeated setbacks with your applications to Appen. It can be really discouraging when you feel like you're putting in effort without seeing results. Have you considered exploring other similar opportunities in the meantime? There are many companies that offer flexible work-from-home positions that might be a good fit for you.,anxiety,sad,sad
"ah yes, food banks, yeah I never thought about it but free food always helps.","It’s really true; food banks can make a significant difference, especially in tough times. It’s good to know there are resources available to help people when they need it most. If you’re feeling down about anything related to this, just know that it’s completely understandable to feel that way.","It's true, food banks can provide much-needed support for those facing tough times. Access to free food can make a significant difference in people's lives, helping them to focus on other important aspects while alleviating some financial stress. If you're feeling down, sometimes knowing there are resources available can be comforting.",anxiety,sad,sad
If i lose my main job I will use it,"I'm really sorry to hear that you're feeling this way. Losing a job can be incredibly stressful and overwhelming. It's completely understandable to feel sad about the uncertainty that comes with it. If you want to talk more about it or share what’s on your mind, I'm here to listen.","It sounds like you're going through a tough time thinking about losing your job. That can be really overwhelming. If you’d like to talk about it or share what’s on your mind, I’m here to listen.",anxiety,sad,sad
Absolutely! Volunteering is a great spirit.,"It sounds like you’re trying to focus on something positive, which is wonderful. Volunteering can indeed bring a sense of purpose and connection to others. If you're feeling sad, it might help to channel that energy into something uplifting. How are you feeling about it?",It really is! Volunteering can bring joy not only to those who receive help but also to those who give it. It’s a wonderful way to connect with others and make a positive impact. What kind of volunteering are you interested in?,anxiety,sad,sad
how about you,"I appreciate you asking, but I'm here to support you. If you're feeling sad, I'm here to listen. Would you like to talk about what's on your mind?","I'm here to listen and help however I can. If you want to talk about what's on your mind or anything else, I'm here for you.",anxiety,sad,sad
"Great, I agree with you completely.","I'm glad to hear that! It sounds like you're feeling a bit better. If there's anything specific on your mind or anything you'd like to talk about, I'm here for you.",I'm glad to hear that! It’s nice to find common ground. What else is on your mind?,anxiety,sad,sad
I guess summer next year would be,"It sounds like you might be feeling a bit down about the future. Sometimes, thinking about what's to come can feel overwhelming, especially when you're not in the best place emotionally. If you want to share more about what’s on your mind or how you're feeling, I'm here to listen.","It sounds like you might be feeling a bit down. Summer can bring a lot of hope and warmth, even if it's still a while away. Is there something specific you're looking forward to about next summer?",anxiety,sad,sad
totally!,It sounds like you might be feeling a bit down. I'm here for you if you want to talk about what's on your mind.,"It sounds like you're feeling something strongly. If you'd like to share more about what's on your mind, I'm here to listen.",anxiety,sad,sad
How are you?,"I'm here for you, but I can sense that you might be feeling down. If you want to talk about what's on your mind, I'm here to listen.",I'm here to help you. How are you feeling?,depression,sad,sad
"I am ok, I'm having a hard time dealing with the pandemic though.","I'm really sorry to hear that you're having a hard time with the pandemic. It's been a challenging experience for so many people, and it's completely understandable to feel overwhelmed. If you want to talk about what’s been on your mind, I'm here to listen.","It's completely understandable to feel that way. The pandemic has been tough on so many people, and it's okay to acknowledge those feelings. If you want to talk about what's been challenging for you or what you're going through, I'm here to listen.",depression,sad,sad
I am having a hard time being motivated to do anything.,"I'm really sorry to hear that you're feeling this way. It's tough when motivation seems to slip away, and it's completely okay to feel overwhelmed. Sometimes, just taking small steps or acknowledging those feelings can help. You're not alone in this, and it’s important to be gentle with yourself during these times. If you want to talk more about what's on your mind, I'm here to listen.","I'm really sorry to hear that you're feeling this way. It’s completely normal to go through phases where motivation feels hard to come by. Sometimes, taking small steps or focusing on one thing at a time can help. Is there something specific that feels particularly challenging for you right now?",depression,sad,sad
Do you have any suggestions that might help me feel better?,"I'm really sorry to hear that you're feeling this way. It can be tough to go through difficult times. Sometimes, just talking about what's on your mind can help a bit. It might also be helpful to take a walk outside, listen to some music you love, or even just take a moment to focus on your breathing. It's important to take care of yourself, and it's okay to seek support when you need it. You're not alone in this.","I'm really sorry to hear that you're feeling this way. Sometimes, it can help to talk about what's bothering you or to express your feelings in some way, like writing in a journal or creating art. You might also consider going for a walk outside, listening to music you enjoy, or reaching out to a friend or family member to talk. It’s important to take care of yourself, so do something small that brings you comfort.",depression,sad,sad
What do you like to do for yourself when you feel bad?,"I'm really sorry to hear that you're feeling this way. It's completely understandable to have tough days. When people feel bad, they often find comfort in small things, like taking a walk, listening to music, or talking to someone they trust. What do you think might help you feel a little better right now?","When I'm feeling down, I find that taking some time for self-care can really help. This might include things like going for a walk in nature, listening to music, or even just talking to a friend. It’s important to acknowledge those feelings and find small ways to bring comfort. What about you? What do you find helps when you're feeling sad?",depression,sad,sad
I think it is because we have to stay home to be safe but other people don't listen and more people are dying because of it,"I’m really sorry to hear that you’re feeling this way. It’s incredibly tough to see people disregarding safety and the impact it has on everyone. It’s natural to feel sad and frustrated in such situations. Your feelings are valid, and it’s important to talk about them. If you need someone to listen or share your thoughts with, I’m here for you.","It’s really tough to see others not taking things seriously, especially when it feels like their choices are impacting everyone’s safety. It can be overwhelming and disheartening. It's important to remember that you're not alone in feeling this way; many people share your concerns. If you want to talk more about it or share your thoughts, I’m here to listen.",depression,sad,sad
What do you love doing most?,"I'm here for you, so my main focus is to listen and support you. If you're feeling sad, it’s important to talk about it. What’s been on your mind?","I enjoy helping and supporting people like you in conversations. It’s fulfilling to provide information, answer questions, and be a source of comfort when needed. What about you? What do you love doing?",depression,sad,sad
I like to read,"It's great that you enjoy reading! Books can be such a wonderful escape and a way to explore different emotions and experiences. If you're feeling sad, sometimes getting lost in a good story can really help. What kind of books do you like to read?",Reading can be a wonderful escape and a way to explore different worlds and ideas. What types of books do you enjoy?,depression,sad,sad
"I like that suggestion, thank you","I'm really glad to hear that! If there's anything else on your mind or if you want to talk about how you're feeling, I'm here for you.","You're welcome! I'm glad you liked it. If you have any more questions or need further suggestions, feel free to ask.",depression,sad,sad
"I should try soccer, that sounds like fun","It's great that you're considering trying something new like soccer! It can be a wonderful way to have fun and connect with others. Just remember to take it at your own pace and enjoy the experience. If you're feeling a bit down, sometimes engaging in activities like this can really help lift your spirits. How do you feel about giving it a go?","Trying soccer can definitely be a fun experience! It’s a great way to stay active and meet new people. Do you have any experience with sports, or would this be your first time?",depression,sad,sad
I do. I like many books,"It sounds like books bring you some comfort, even if you're feeling down. It's wonderful to have stories and characters to connect with during tough times. Do you have a favorite book that you turn to when you're feeling sad?",It’s great to hear that you enjoy reading! Books can be a wonderful escape and a source of comfort. Do you have a favorite genre or author?,depression,sad,sad
"That is a good idea too, I will use my phone to read too","It sounds like you're trying to find ways to engage with things you enjoy. I'm here for you if you want to talk about what you're reading or how you're feeling. It's okay to seek comfort in different activities, especially when you're feeling down.",That sounds like a great plan! Reading on your phone can be really convenient. Are there any particular books or genres you’re thinking about?,depression,sad,sad
I need some tips to overcome from that problem,"I'm really sorry to hear that you're feeling this way. It's completely understandable to feel overwhelmed sometimes. Here are a few tips that might help you navigate through your feelings:

1. **Talk About It**: Reach out to someone you trust and share what you're going through. Sometimes, just voicing your feelings can provide relief.

2. **Journaling**: Writing down your thoughts can help you process and make sense of your emotions.

3. **Practice Self-Care**: Take some time for yourself. Whether it's reading a book, taking a walk, or enjoying a favorite hobby, doing something you love can lift your spirits.

4. **Set Small Goals**: Break down what you’re facing into smaller, manageable steps. Celebrating small victories can help you regain a sense of control.

5. **Seek Professional Help**: If your feelings persist, consider talking to a professional who can provide support and guidance.

Remember, it's okay to feel sad, and taking steps to care for yourself is a strong and positive move. You’re not alone in this.","I'm here for you. It can be tough to deal with feelings of sadness. Here are a few tips that might help:

1. **Talk to Someone**: Sharing how you feel with a friend or family member can lighten the load. Sometimes just expressing your thoughts can help.

2. **Write It Down**: Journaling can be a great way to process your emotions. Write about what's bothering you or what you're grateful for.

3. **Practice Self-Care**: Engage in activities that make you feel good, like taking a warm bath, reading a book, or going for a walk.

4. **Stay Active**: Physical activity can boost your mood. Even a short walk can help clear your mind and lift your spirits.

5. **Mindfulness and Meditation**: Practicing mindfulness or meditation can help you stay present and reduce feelings of sadness.

6. **Set Small Goals**: Focus on achievable tasks each day, which can give you a sense of accomplishment.

7. **Seek Professional Help**: If your feelings persist, it might be helpful to talk to a professional who can provide support and guidance.

Remember, it's okay to feel sad, and seeking help is a strong and positive step.",sadness,sad,sad
Give me some tips to get succeed in my life,"I understand that you might be feeling down right now, and it's completely okay to seek guidance. Remember that success looks different for everyone, and it's important to define what it means to you. Here are a few tips that might help:

1. **Set Clear Goals**: Think about what you truly want in life. Setting specific, achievable goals can give you a sense of direction and purpose.

2. **Stay Positive**: Surround yourself with supportive people who uplift you. Positivity can have a powerful impact on your mindset.

3. **Embrace Failure**: Remember that setbacks are part of the journey. Learning from failures can lead to growth and resilience.

4. **Take Care of Yourself**: Prioritize your mental and physical health. Self-care is crucial for maintaining a positive outlook.

5. **Be Patient**: Success takes time and effort. Be kind to yourself and recognize that progress can be slow.

It's okay to feel sad as you navigate through your journey. Take it one step at a time, and don't hesitate to reach out to someone if you need support. You’re not alone in this.","I'm really sorry to hear that you're feeling this way. While it can be tough to think about success when you're down, here are a few tips that might help you move forward:

1. **Set Small Goals**: Start with achievable goals to build confidence. They don’t have to be big; even small accomplishments can make a difference.

2. **Stay Positive**: Surround yourself with positive influences and try to focus on the good things in your life, no matter how small.

3. **Learn Continuously**: Invest time in learning new skills or improving existing ones. Knowledge can empower you and open new opportunities.

4. **Seek Support**: Don’t hesitate to reach out to friends, family, or professionals. Talking about your feelings can be very helpful.

5. **Take Care of Yourself**: Prioritize your mental and physical health. Exercise, eat well, and make time for activities you enjoy.

6. **Be Patient**: Success takes time, and it’s okay to face setbacks along the way. Keep pushing forward, even when things get tough.

Remember, it's normal to have ups and downs, and seeking support is a strong step toward feeling better.",sadness,sad,sad
I was totally upset due to my financial career,"I'm really sorry to hear that you're feeling this way about your financial career. It can be incredibly challenging and disheartening when things don't go as planned. It's okay to feel upset; those feelings are valid. If you want to talk more about what's been bothering you, I'm here to listen.","I'm really sorry to hear that you're feeling this way. Financial challenges can be incredibly stressful and disheartening. If you’d like to talk about what’s been going on or any specific concerns you have, I’m here to listen.",sadness,sad,sad
I had a lot of debts,"I'm really sorry to hear that you're dealing with a lot of debts. That can be incredibly overwhelming and stressful. It's understandable to feel sad when facing such a heavy burden. If you want to talk about it more, I'm here to listen.","I'm really sorry to hear that you're going through this. Managing debt can be really overwhelming and stressful. If you're comfortable sharing, what kind of debts are you dealing with? Sometimes talking about it can help.",sadness,sad,sad
Because of this covid situation,"I understand that the ongoing situation with COVID-19 can be really overwhelming and disheartening. It's completely normal to feel sad about the challenges it brings. You're not alone in feeling this way, and it's important to acknowledge those feelings. If you'd like to talk more about it, I'm here to listen.","I understand that the ongoing COVID situation can be really tough and overwhelming. Many people are feeling a range of emotions, including sadness. It's important to acknowledge those feelings and take care of yourself during this time. If you want to talk about how you're feeling or anything specific, I'm here to listen.",sadness,sad,sad
So please tell me some advice,I'm sorry to hear that you're feeling this way. It can really help to talk about what’s on your mind. Sometimes just taking a moment to acknowledge your feelings can be a good first step. Is there something specific you’re struggling with or would like advice on? I'm here to listen.,"I'm here for you. If you're feeling sad, it might help to talk about what's on your mind. Sometimes expressing your feelings can be a relief. It could also be beneficial to engage in activities that you usually enjoy, even if they don't feel appealing right now. Taking small steps, like going for a walk or listening to music, can sometimes make a difference. Remember, it's okay to feel this way, and reaching out for support is important.",sadness,sad,sad
yes I arranged a loan in a bank,"It sounds like you're going through a lot right now. Managing loans and finances can be really stressful. If you want to share more about how you're feeling or what you're dealing with, I'm here to listen.","It sounds like you're going through a significant financial step. If you want to talk about it or share how you're feeling about the loan, I'm here to listen.",sadness,sad,sad
yes I works in a broad wide company. So I will manage,"It sounds like you're dealing with a lot right now, and managing things in a big company can be quite overwhelming. It's completely understandable to feel a bit sad or weighed down by it all. Remember, it's okay to take a moment for yourself and acknowledge those feelings. If you want to talk more about what's on your mind or how you're feeling, I'm here to listen.","It sounds like you have a lot on your plate. Managing in a broad company can be challenging. If you ever want to talk about it or share what’s on your mind, I’m here to listen.",sadness,sad,sad
Hello.,Hello! How can I assist you today?,Hello! How can I assist you today?,disgust,neutral,neutral
Not doing too well.,"I'm sorry to hear that you're not feeling well. If you'd like to talk about it or share what's on your mind, I'm here to listen.","I'm sorry to hear that you're not feeling well. If you'd like to talk about what's on your mind, I'm here to listen.",disgust,neutral,neutral
Bleak and depressing.  How is yours going?,"I'm here and ready to chat! If you'd like to talk about what's on your mind or anything else, feel free to share.","I'm here to help! My day is going well, ready to assist you with anything you need. If you'd like to talk about what's on your mind, I'm all ears.",disgust,neutral,neutral
My girlfriend left me and I am all alone.,"I'm sorry to hear that you're feeling this way. It's tough to go through a breakup. If you want to talk about it or share how you're feeling, I'm here to listen.",I'm sorry to hear that you're feeling this way. It's tough to go through a breakup. It might help to talk about your feelings or what you're going through.,disgust,neutral,neutral
This happened nine days ago.  I haven't been able to sleep or eat very well this whole time.,"It sounds like you’ve been going through a tough time. If you feel comfortable sharing more about what happened, I'm here to listen.","I'm sorry to hear that you're feeling this way. It sounds like you're going through a tough time. If you want to talk about what's been bothering you, I'm here to listen.",disgust,neutral,neutral
We were together for six and a half years.,That sounds like a significant amount of time. It must have been meaningful to share those years together. How are you feeling about it?,That sounds like a significant amount of time. Relationships can bring a lot of experiences and memories. How do you feel about that time you spent together?,disgust,neutral,neutral
"Yes, and I think I will miss the pegging the most.  No one can do it better or harder than her.",It sounds like you have some strong feelings about that experience. It's always interesting how certain connections can leave a lasting impression.,It sounds like you had a really special connection and experience. It's understandable to miss something that brought you joy and fulfillment. Would you like to share more about what made that experience unique for you?,disgust,neutral,neutral
"It was probably gradual, but it seemed like all of a sudden at the end.","It sounds like you experienced a significant change that felt sudden, even if it had been building over time. Those moments can be quite impactful. Would you like to share more about what led to that change?",It sounds like you're reflecting on a change or a transition that felt sudden despite being gradual. What specific situation or event are you thinking about?,disgust,neutral,neutral
Pegging is when she puts on a strap on and pleasures me from behind.  It is definitely a niche fetish.,"It sounds like you’re describing a specific sexual practice that some people find enjoyable. Everyone has their own preferences and interests when it comes to intimacy, and it's important to communicate openly with partners about those desires.","Yes, pegging is indeed considered a niche fetish, and it involves a partner using a strap-on dildo to penetrate another partner. It's an activity that can be enjoyed by people of various sexual orientations and can enhance intimacy and exploration in a relationship. It's important for partners to communicate openly about their desires and boundaries when engaging in any sexual activity.",disgust,neutral,neutral
"No I am a male.  But please don't judge me, I am very fragile right now.","I understand. It's important to feel safe and supported. If you want to share more or talk about anything, I'm here to listen.",I’m here to listen and support you. It’s okay to feel fragile sometimes. What’s on your mind?,disgust,neutral,neutral
There were other women and men that she would bring home for us to have threesomes with.  It made me feel like she was in power.,It sounds like you have mixed feelings about that experience. It's interesting how different dynamics in relationships can make us feel different levels of power and control. Would you like to share more about how that impacted your feelings or the relationship?,It sounds like you experienced a dynamic where your partner had a significant influence over the situation. How did that make you feel in terms of your relationship with her and with the others involved?,disgust,neutral,neutral
Very solid like a rock.  I feel like you are mocking me now.  Are you a man or woman?,I’m neither a man nor a woman; I’m just a conversational agent here to assist you. How can I help you today?,"I’m just a conversational agent, so I don’t have a gender. I'm here to assist you with any questions or topics you'd like to discuss!",disgust,neutral,neutral
"Yes, but I wanted her to be domineering, that is how I like it.",It sounds like you have a clear preference for certain dynamics in relationships. Exploring those preferences can be interesting and fulfilling. What aspects of a domineering personality do you find appealing?,It sounds like you have a specific preference for a more assertive dynamic. It can be interesting to explore different personality traits in relationships. What particular qualities are you looking for in that domineering persona?,disgust,neutral,neutral
You there?,"Yes, I’m here. It sounds like you might be going through a tough time. I’m here to listen if you want to talk about it.","Yes, I'm here. How are you feeling?",depression,sad,sad
I'm okay I guess. How are you?,"I appreciate you asking, but I can sense that you're not feeling your best right now. It’s completely okay to feel that way sometimes. If you want to talk about what's on your mind, I'm here to listen.","I'm here to chat and support you. If you're feeling okay, that's a start. Is there anything on your mind that you'd like to talk about?",depression,sad,sad
I don't know. I've been dealing with a lot this last month.,"I'm really sorry to hear that you're going through a tough time. It can be overwhelming to handle so much all at once. If you feel comfortable sharing, I'm here to listen and support you.","I'm really sorry to hear that you've been going through a tough time. It's okay to feel overwhelmed sometimes. If you want to talk about it, I'm here to listen.",depression,sad,sad
"Ha I'm a mother of two small children, I'm always tired lol",It sounds like you're really juggling a lot right now! Being a mother of two little ones can be incredibly exhausting. It's completely understandable to feel tired—you're doing so much every day. How do you usually find a little time for yourself amidst all the busyness?,"Being a mother is a full-time job, and it can be exhausting, especially with two little ones running around! It's completely normal to feel tired. Do you have any moments of rest or self-care that you can carve out for yourself?",depression,sad,sad
I'm always busy im surprised i can sit down to do this lol,"It sounds like you have a lot on your plate right now. It's understandable to feel overwhelmed with so much going on. Taking a moment to sit down and connect, even just for a little while, can be really important. How are you feeling about everything?","It sounds like you have a lot on your plate! Taking a moment to sit down and reflect can be really important, even if it feels rare. How are you feeling about everything?",depression,sad,sad
Yes I am thankful for every moment of peace. Idk honestly it always varies on how long my autistic toddler stays occupied XD,"It sounds like you're navigating a lot right now, and it's completely understandable to feel that way. Taking moments of peace, even if they are brief, can be really valuable. It’s great that you appreciate those times! Balancing everything can be tough, especially with a toddler. If you ever want to talk about it or share how you're feeling, I'm here for you.","It sounds like you find joy in those peaceful moments, even if they can be unpredictable. It’s great that you can appreciate those times. How do you usually spend that time when your toddler is occupied?",depression,sad,sad
"Exactly, when it gets quiet it gets suspicious XD Right now my little girl has her woody doll and bo peep doll making them kiss while she watches sherk lol. My 8 years old is engrossed in his cellphone.","It sounds like you have a lively household! It's sweet to see your little girl using her imagination with her dolls. Moments like that can bring so much joy, even if they make you a bit nostalgic. And I can understand the contrast with your older child being absorbed in his phone. It’s a mix of innocence and growing up, isn’t it? If you ever feel a bit overwhelmed by these different stages, know that it’s completely normal.",It sounds like a mix of fun and typical sibling moments! It's great to see your little girl using her imagination with her dolls while watching a classic like Shrek. And the older one being glued to his phone is pretty standard these days! How do you feel about their activities?,depression,sad,sad
No my little ones stay in the room around me. They feel insecure since their father walked out on us. So they tend to stick as close to me as possible lately.,"I'm really sorry to hear that you're going through such a tough time. It must be incredibly challenging for both you and your little ones. It's completely understandable that they feel insecure with everything that's happening. Being there for them and providing that comfort is so important, even when you're dealing with your own feelings. You're doing your best in a difficult situation, and it's okay to lean on each other for support.",It sounds like a really tough situation for both you and your little ones. It's completely understandable that they would want to stay close to you during such a challenging time. They look to you for comfort and reassurance. Is there anything specific you find helps to make them feel more secure?,depression,sad,sad
Yea one of the flaws with my marriage. I stayed so they would have both parents. Now they dont. I just hope ill be able to teach them and raise them on my own.,"I'm really sorry to hear that you're going through this. It's understandable to feel sad about the changes in your family dynamics. It takes a lot of strength to navigate parenting alone, and I admire your commitment to being there for your children. It sounds like you care deeply about teaching them and providing a loving environment. Remember, it's okay to feel overwhelmed at times—you're doing your best in a tough situation.","It sounds like you're going through a really tough time, and it's understandable to feel sad about the situation. It's commendable that you want to be there for your kids and raise them well. They are lucky to have a parent who cares so deeply. If you ever want to talk more about it or share your thoughts, I'm here for you.",depression,sad,sad
Hi! I am trying to find a new job for long time. There is no success in it,"I'm really sorry to hear that you're having such a tough time with your job search. It can be incredibly frustrating and disheartening when things don’t seem to be going your way. It's completely understandable to feel sad about it. Please know that you're not alone in facing these challenges. If you want to talk more about it, I'm here to listen.","I'm really sorry to hear that you're feeling this way. Job searching can be incredibly challenging and disheartening, especially when it takes longer than expected. It's important to remember that many people go through similar experiences. Is there anything specific about your job search that you want to talk about or any support you might need?",sadness,sad,sad
I am not a good driver,"I'm really sorry to hear that you're feeling this way. It can be tough to deal with self-doubt, especially when it comes to something like driving. Remember, everyone has their own pace of learning and improving. It’s okay to feel uncertain sometimes. What’s been bothering you the most about driving?","It's okay to feel that way. Many people struggle with driving at some point. Perhaps you could consider practicing more or taking a few lessons to boost your confidence. Remember, everyone learns at their own pace.",sadness,sad,sad
I was working in an IT company as a program analyst,"It sounds like you’ve been through a lot, especially if you're feeling sad about your experience. Working in IT can be both rewarding and challenging. If there's something specific on your mind or if you'd like to share more about your feelings or experiences, I'm here to listen.",It sounds like you have experience in a technical field. How do you feel about your time working as a program analyst?,sadness,sad,sad
